"","ELEV","GRASS","GREEN","HYDRODIST","HYDROFLOW","ISOTHERM","LIGHT","MNTEMPWQ","PRECDM","PRECSEAS","ROADDIST","SLOPE","SOILBULK","SOILEXCH","SOILSAND","TEMPANRANGE","TOWNDIST","TREEDENS"
"ELEV",1,-0.199553001793604,-0.488954433121871,-0.268745062195517,-0.0576242068324784,-0.29554566911091,-0.0910035982217747,-0.694765863679856,0.688714323042587,0.132283160355758,0.135802153090546,0.712339956125791,-0.449131362730295,-0.265539377252776,-0.159213213852539,-0.0437911542831242,-0.0373156404772148,0.562775948178252
"GRASS",-0.199553001793604,1,0.495972082388744,-0.298130262901341,0.0182046344445518,0.103651263532229,0.112757619335271,-0.079011823529166,-0.0147712593189056,0.215232463574834,-0.352277997877654,-0.204046842176742,0.157384302818322,0.111633344576904,-0.396435656024985,-0.405139494960539,-0.39250589996533,-0.299592396251696
"GREEN",-0.488954433121871,0.495972082388744,1,-0.0106290843006078,0.00726572674491785,0.166143837799026,-0.0783955402535761,0.163347697160525,-0.521452842751565,0.162870217513526,-0.313497316354682,-0.497122616766205,0.385028381233067,0.275578875412961,-0.248964228458829,0.112731669744875,-0.207216292424935,-0.656025641425627
"HYDRODIST",-0.268745062195517,-0.298130262901341,-0.0106290843006078,1,-0.0542405571757364,0.266625527196137,-0.0750111551252605,0.258222800702752,-0.482657027917725,0.0779312512174312,0.415660715653352,-0.254164603609709,0.0453546067692001,0.0554832355088571,0.434579584079625,0.359638366680962,0.59177743393432,-0.262274320639985
"HYDROFLOW",-0.0576242068324784,0.0182046344445518,0.00726572674491785,-0.0542405571757364,1,0.00164996582318547,0.0166063933841816,0.0501578045424116,-0.0293197568080695,-0.0315244834901294,-0.0169663035505677,-0.0295205314554999,0.0327950524941832,0.0155064759479495,0.00660130087699679,0.0147355076231708,-0.0207519752778925,-0.0255752767902083
"ISOTHERM",-0.29554566911091,0.103651263532229,0.166143837799026,0.266625527196137,0.00164996582318547,1,-0.0334840587082631,0.431711961300515,-0.164222294637273,0.216000262756438,0.0348047714419892,-0.222742372612972,0.161259152048169,-0.0188049612347753,0.0617866904888892,0.154206242793468,0.166057894960291,-0.11665995473379
"LIGHT",-0.0910035982217747,0.112757619335271,-0.0783955402535761,-0.0750111551252605,0.0166063933841816,-0.0334840587082631,1,0.107012635575946,0.0734118975001617,-0.132960609187121,-0.0843049142440305,-0.0514023315483467,0.0912226189979107,0.0314969613848132,-0.063511575889559,-0.155972391607291,-0.132926479441242,-0.0547140629559155
"MNTEMPWQ",-0.694765863679856,-0.079011823529166,0.163347697160525,0.258222800702752,0.0501578045424116,0.431711961300515,0.107012635575946,1,-0.397450048903293,-0.546561808592918,0.0318504097751461,-0.485437633713318,0.321486113822121,0.149932810150925,0.221634101557358,0.197980501738169,0.157190384717698,-0.346301760612034
"PRECDM",0.688714323042587,-0.0147712593189056,-0.521452842751565,-0.482657027917725,-0.0293197568080695,-0.164222294637273,0.0734118975001617,-0.397450048903293,1,-0.146477358935774,0.0197945766091967,0.644008743248694,-0.327198290070709,-0.353322901308079,-0.30410064415146,-0.421406543889487,-0.223360602648381,0.716297985662625
"PRECSEAS",0.132283160355758,0.215232463574834,0.162870217513526,0.0779312512174312,-0.0315244834901294,0.216000262756438,-0.132960609187121,-0.546561808592918,-0.146477358935774,1,-0.0927861714388171,0.0657929464930466,-0.049430040198144,-0.0313235950746923,-0.0516228227233388,-0.0621328197725551,-0.0334275854805306,0.042306803903307
"ROADDIST",0.135802153090546,-0.352277997877654,-0.313497316354682,0.415660715653352,-0.0169663035505677,0.0348047714419892,-0.0843049142440305,0.0318504097751461,0.0197945766091967,-0.0927861714388171,1,0.159114654793636,-0.13786193627419,-0.143250517471527,0.342491728510695,0.153349178786261,0.587514585150889,0.168142741625852
"SLOPE",0.712339956125791,-0.204046842176742,-0.497122616766205,-0.254164603609709,-0.0295205314554999,-0.222742372612972,-0.0514023315483467,-0.485437633713318,0.644008743248694,0.0657929464930466,0.159114654793636,1,-0.393124582531542,-0.276050068214761,-0.0732643726718435,-0.104909632051204,-0.0385993587145967,0.602945787541041
"SOILBULK",-0.449131362730295,0.157384302818322,0.385028381233067,0.0453546067692001,0.0327950524941832,0.161259152048169,0.0912226189979107,0.321486113822121,-0.327198290070709,-0.049430040198144,-0.13786193627419,-0.393124582531542,1,-0.172825312717054,-0.0384722337814682,0.175680938910626,-0.0741557091319728,-0.326564852236203
"SOILEXCH",-0.265539377252776,0.111633344576904,0.275578875412961,0.0554832355088571,0.0155064759479495,-0.0188049612347753,0.0314969613848132,0.149932810150925,-0.353322901308079,-0.0313235950746923,-0.143250517471527,-0.276050068214761,-0.172825312717054,1,-0.258563021570377,0.0565530774726741,-0.0817333353736173,-0.391592435812086
"SOILSAND",-0.159213213852539,-0.396435656024985,-0.248964228458829,0.434579584079625,0.00660130087699679,0.0617866904888892,-0.063511575889559,0.221634101557358,-0.30410064415146,-0.0516228227233388,0.342491728510695,-0.0732643726718435,-0.0384722337814682,-0.258563021570377,1,0.317056731201771,0.481896499925009,-0.0244086144160109
"TEMPANRANGE",-0.0437911542831242,-0.405139494960539,0.112731669744875,0.359638366680962,0.0147355076231708,0.154206242793468,-0.155972391607291,0.197980501738169,-0.421406543889487,-0.0621328197725551,0.153349178786261,-0.104909632051204,0.175680938910626,0.0565530774726741,0.317056731201771,1,0.284928241594756,-0.32954674818381
"TOWNDIST",-0.0373156404772148,-0.39250589996533,-0.207216292424935,0.59177743393432,-0.0207519752778925,0.166057894960291,-0.132926479441242,0.157190384717698,-0.223360602648381,-0.0334275854805306,0.587514585150889,-0.0385993587145967,-0.0741557091319728,-0.0817333353736173,0.481896499925009,0.284928241594756,1,-0.00576914597102735
"TREEDENS",0.562775948178252,-0.299592396251696,-0.656025641425627,-0.262274320639985,-0.0255752767902083,-0.11665995473379,-0.0547140629559155,-0.346301760612034,0.716297985662625,0.042306803903307,0.168142741625852,0.602945787541041,-0.326564852236203,-0.391592435812086,-0.0244086144160109,-0.32954674818381,-0.00576914597102735,1
