"Species","Variable","Coefficient","Std. Error","Z-value","Pr(Z)","ANOVA"
"Eastern Grey Kangaroo","Intercept","-36.61","2.149","-17.03","2e-16","---"
NA,"EGK","0.4764","0.02391","19.92","2e-16","57.49"
NA,"TVOL","5.846","0.4727","12.37","2e-16","0.03828"
NA,"TVOL2","-0.3488","0.02945","-11.84","2e-16","10.52"
NA,"TSPD","3.087","0.1718","17.97","2e-16","31.95"
NA,NA,NA,NA,NA,NA,NA
"Common Brushtail Possum","Intercept","-40.72","9.789","-4.159","3.2e-05","---"
NA,"BTP","0.6266","0.08664","7.232","4.7e-13","77.16"
NA,"TVOL","8.08","2.05","3.942","8.1e-05","16.36"
NA,"TVOL2","-0.4363","0.1186","-3.679","0.00023","4.892"
NA,"TSPD","0.9248","0.433","2.136","0.033","1.584"
NA,NA,NA,NA,NA,NA,NA
"Common Ringtail Possum","Intercept","-123.8","27.94","-4.432","9.3e-06","---"
NA,"RTP","0.7908","0.09552","8.28","2e-16","76.07"
NA,"TVOL","26.73","6.115","4.372","1.2e-05","11.32"
NA,"TVOL2","-1.49","0.3457","-4.311","1.6e-05","11.15"
NA,"TSPD","1.154","0.515","2.241","0.025","1.462"
NA,NA,NA,NA,NA,NA,NA
"Black Swamp Wallaby","Intercept","-42.27","8.025","-5.268","1.4e-07","---"
NA,"BSW","0.5768","0.09598","6.009","1.9e-09","57.89"
NA,"TVOL","7.702","1.867","4.125","3.7e-05","0.03064"
NA,"TVOL2","-0.4686","0.1182","-3.965","7.3e-05","20.14"
NA,"TSPD","2.802","0.6277","4.464","8.1e-06","21.95"
NA,NA,NA,NA,NA,NA,NA
"Common Wombat","Intercept","-41.18","7.809","-5.273","1.3e-07","---"
NA,"WOM","0.6207","0.06801","9.126","2e-16","79.64"
NA,"TVOL","7.079","1.712","4.135","3.6e-05","0.483"
NA,"TVOL2","-0.418","0.1064","-3.93","8.5e-05","6.217"
NA,"TSPD","3.036","0.5894","5.151","2.6e-07","13.66"
NA,NA,NA,NA,NA,NA,NA
"Koala","Intercept","-42.84","9.32","-4.597","4.3e-06","---"
NA,"KOA","0.3342","0.07314","4.569","4.9e-06","55.9"
NA,"TVOL","8.808","2.26","3.898","9.7e-05","0.344"
NA,"TVOL2","-0.557","0.146","-3.815","0.00014","27.42"
NA,"TSPD","2.082","0.7081","2.941","0.0033","16.34"
NA,NA,NA,NA,NA,NA,NA
